id	Country	Year
AFG	Afghanistan	1919
ALB	Albania	1912
DZA	Algeria	1962
AGO	Angola	1975
AIA	Anguilla	1967
ATG	Antigua and Barbuda	1981
ARG	Argentina	1816
ARM	Armenia	1918
ARM	Armenia	1991
AUS	Australia	1901
AUT	Austria	1955
AZE	Azerbaijan	1918
AZE	Azerbaijan	1991
BHS	Bahamas	1973
BHR	Bahrain	1971
BGD	Bangladesh	1971
BRB	Barbados	1966
BLR	Belarus	1944
BEL	Belgium	1831
BLZ	Belize	1981
BEN	Benin	1960
BOL	Bolivia	1825
BIH	Bosnia and Herzegovina	1992
BWA	Botswana	1966
BRA	Brazil	1822
BRN	Brunei	1984
BGR	Bulgaria	1908
BFA	Burkina Faso	1960
BDI	Burundi	1962
KHM	Cambodia	1953
CMR	Cameroon	1960
CAN	Canada	1867
CAF	Central African Republic	1960
TCD	Chad	1960
CHL	Chile	1810
CHL	Chile	1818
COL	Colombia	1810
COM	Comoros	1975
COD	Congo, Democratic Republic of the	1960
COG	Congo, Republic of the	1960
CRI	Costa Rica	1821
HRV	Croatia	1991
CUB	Cuba	1902
CYP	Cyprus	1960
CZE	Czech Republic	1918
CZE	Czech Republic	1993
DJI	Djibouti	1977
DMA	Dominica	1978
DOM	Dominican Republic	1844
TLS	East Timor	2002
ECU	Ecuador	1809
ECU	Ecuador	1822
SLV	El Salvador	1821
GNQ	Equatorial Guinea	1968
ERI	Eritrea	1993
EST	Estonia	1918
EST	Estonia	1991
FJI	Fiji	1970
FIN	Finland	1917
GAB	Gabon	1960
GMB	Gambia, The	1965
GEO	Georgia	1918
GEO	Georgia	1991
GHA	Ghana	1957
GRC	Greece	1821
GRD	Grenada	1974
GTM	Guatemala	1821
GIN	Guinea	1958
GNB	Guinea-Bissau	1973
GUY	Guyana	1966
HTI	Haiti	1804
HND	Honduras	1821
HUN	Hungary	1083
ISL	Iceland	1944
IND	India	1947
IDN	Indonesia	1945
IRQ	Iraq	1932
ISR	Israel	1948
CIV	Ivory Coast	1960
JAM	Jamaica	1962
JOR	Jordan	1946
KAZ	Kazakhstan	1991
KEN	Kenya	1963
KIR	Kiribati	1979
PRK	Korea, North	1945
KOR	Korea, South	1945
OSA	Kosovo	2008
KWT	Kuwait	1961
KGZ	Kyrgyzstan	1991
LAO	Laos	1953
LVA	Latvia	1918
LVA	Latvia	1990
LBN	Lebanon	1943
LSO	Lesotho	1966
LBR	Liberia	1847
LBY	Libya	1951
LTU	Lithuania	1918
LTU	Lithuania	1990
MKD	Macedonia, Republic of	1991
MDG	Madagascar	1960
MWI	Malawi	1964
MYS	Malaysia	1957
MDV	Maldives	1965
MLI	Mali	1960
MLT	Malta	1964
MRT	Mauritania	1960
MUS	Mauritius	1968
MEX	Mexico	1810
MDA	Moldova	1991
MNG	Mongolia	1911
MNE	Montenegro	2006
MAR	Morocco	1955
MOZ	Mozambique	1975
NAM	Namibia	1990
NRU	Nauru	1968
NIC	Nicaragua	1821
NER	Niger	1960
NGA	Nigeria	1960
CYP	Northern Cyprus	1983
NOR	Norway	1814
NOR	Norway	1905
PAK	Pakistan	1947
PAN	Panama	1821
PAN	Panama	1903
PNG	Papua New Guinea	1975
PRY	Paraguay	1811
PER	Peru	1821
PHL	Philippines	1898
POL	Poland	1918
PRT	Portugal	1143
QAT	Qatar	1971
IRL	Republic of Ireland	1916
ROU	Romania	1877
RUS	Russia	1992
RWA	Rwanda	1962
KNA	Saint Kitts and Nevis	1983
LCA	Saint Lucia	1979
VCT	Saint Vincent and the Grenadines	1979
WSM	Samoa	1962
SEN	Senegal	1960
SRB	Serbia	1804
SYC	Seychelles	1976
SLE	Sierra Leone	1961
SGP	Singapore	1965
SVK	Slovakia	1992
SVN	Slovenia	1990
SLB	Solomon Islands	1978
SOM	Somalia	1960
ABV	Somaliland	1991
ZAF	South Africa	1931
SSD	South Sudan	2011
LKA	Sri Lanka	1948
SDN	Sudan	1956
SUR	Suriname	1975
SWZ	Swaziland	1968
SWE	Sweden	1523
CHE	Switzerland	1291
SYR	Syria	1946
TJK	Tajikistan	1991
TZA	Tanzania	1961
TGO	Togo	1960
TON	Tonga	1970
TTO	Trinidad and Tobago	1962
TUN	Tunisia	1956
TUR	Turkey	1923
TKM	Turkmenistan	1991
TUV	Tuvalu	1978
UGA	Uganda	1962
UKR	Ukraine	1991
UKR	Ukraine	1919
ARE	United Arab Emirates	1971
USA	United States	1776
URY	Uruguay	1825
UZB	Uzbekistan	1991
VUT	Vanuatu	1980
VEN	Venezuela	1811
VNM	Vietnam	1945
ESH	Western Sahara	1976
YEM	Yemen	1967
ZMB	Zambia	1964
ZWE	Zimbabwe	1980
